"Species" "Source" "Group" "GBIF_accepted" "GBIF_rank" "originCH" "originEUR" "Swiss_status" "IUCN_status" "Genus" "Family" "Order" "Class" "Phylum" "GUILDE.1" "GUILDE.2" "GUILDE.3" "GUILDE.4" "GUILDE.5" "GUILDE.6" "GUILDE.7" "GUILDE.8" "GUILDE.9" "GUILDE.10" "GUILDE.11" "GUILDE.12" "GUILDE.13" "GUILDE.14" "GUILDE.15" "GUILDE.16" "GUILDE.17" "GUILDE.18" "GUILDE.19" "GUILDE.20" "GUILDE.21" "GUILDE.22" "GUILDE.23" "GUILDE.24" "GUILDE.25" "GUILDE.26" "Functional_group" "Ascoma_type" "Ascoma_development" "Ascus_dehiscence" "C_perct" "N_perct" "P_perct" "C.N_perct" "C.P_perct" "N.P_perct" "Sporocarp_N_perct" "Melanin_content_mg.g" "Spore_width_μm" "Spore_length_μm" "Spore_size_μm3" "Fruiting_body_size_mm2" "Fos" "Ter" "Aqu" "Arb" "Aer" "Substrate" "RangeSize_km2" "MISSING_ALL_TRAITS"
"Acremonium strictum" "InfoSpecies" "Fungi" "Sarocladium strictum (W.Gams) Summerb." "SPECIES" "INN" NA "NE" NA "Sarocladium" "Sarocladiaceae" "Hypocreales" "Sordariomycetes" "Ascomycota" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Acrocordia cavata" "SPEED2ZERO" "Fungi" "Acrocordia cavata (Ach.) R.C.Harris" "SPECIES" "INN" NA "NT" NA "Acrocordia" "Monoblastiaceae" "Monoblastiales" "Dothideomycetes" "Ascomycota" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Acrocordia gemmata" "SPEED2ZERO" "Fungi" "Acrocordia gemmata (Ach.) A.Massal." "SPECIES" "INN" NA "NT" NA "Acrocordia" "Monoblastiaceae" "Monoblastiales" "Dothideomycetes" "Ascomycota" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Acrospermum adeanum" "SPEED2ZERO" "Fungi" "Acrospermum adeanum Höhn." "SPECIES" "INN" NA "NE" NA "Acrospermum" "Acrospermaceae" "Acrospermales" "Dothideomycetes" "Ascomycota" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "parasite" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 1 0 "mosses_lichens" NA "NO"
"Acrospermum compressum" "SPEED2ZERO" "Fungi" "Acrospermum compressum Tode" "SPECIES" "INN" NA "LC" NA "Acrospermum" "Acrospermaceae" "Acrospermales" "Dothideomycetes" "Ascomycota" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 "above_litter" NA "NO"
"Acrospermum graminum" "SPEED2ZERO" "Fungi" "Acrospermum graminum Lib." "SPECIES" "INN" NA "NE" NA "Acrospermum" "Acrospermaceae" "Acrospermales" "Dothideomycetes" "Ascomycota" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 "above_litter" NA "NO"
"Acrospermum pallidulum" "InfoSpecies" "Fungi" "Acrospermum pallidulum Kirschst." "SPECIES" "INN" NA "NE" NA "Acrospermum" "Acrospermaceae" "Acrospermales" "Dothideomycetes" "Ascomycota" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Actidium nitidum" "InfoSpecies" "Fungi" "Glonium nitidum Ellis" "SPECIES" "INN" NA "NE" NA "Glonium" "Gloniaceae" "Mytilinidiales" "Dothideomycetes" "Ascomycota" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "YES"
"Actinoscypha muelleri" "InfoSpecies" "Fungi" "Actinoscypha muelleri Graddon" "SPECIES" "INN" NA "DD" NA "Actinoscypha" "Pezizellaceae" "Helotiales" "Leotiomycetes" "Ascomycota" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "saprobe" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 "above_litter" NA "NO"
"Adelphella babingtonii" "SPEED2ZERO" "Fungi" "Adelphella babingtonii (Berk. & Broome) Pfister, Matočec & I.Kušan" "SPECIES" "INN" NA "LC" NA "Adelphella" "Pezizaceae" "Pezizales" "Pezizomycetes" "Ascomycota" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "saprobe" "exposed_hymenium" "ascohymenial" "operculate" NA NA NA NA NA NA NA NA NA NA NA NA 0 1 0 0 0 "above_litter" NA "NO"
