"AMPHIBIANS","BIRDS","BEES","BRYOPHYTES","BEETLES","MAY-STONE-CADDISFLIES","FISHES","FUNGI","BUTTERFLIES","LICHENS","MAMMALS","MOLLUSCS","DRAGONFLIES","GRASSHOPPERS","VASCULAR_PLANTS","REPTILES","SPIDERS"
"_","_","_","HABsb_4.1","_","_","_","_","_","HAB_5","_","_","_","_","Geo_class","_","_"
"_","_","_","HABsb_4.1.1","_","_","_","_","_","Substrate_type1","_","_","_","_","EIVoa_Moisture","_","_"
"_","_","_","HABsb_4.1.2","_","_","_","_","_","Substrate_type2","_","_","_","_","EIVeu_Moisture","_","_"
"_","_","_","HABsb_4.2","_","_","_","_","_","Substrate_type3","_","_","_","_","EIVoa_pH","_","_"
"_","_","_","HABsb_4.2.1","_","_","_","_","_","Substrate_type4","_","_","_","_","EIVoa_Nitrogen","_","_"
"_","_","_","HABsb_4.3","_","_","_","_","_","Substrate_type5","_","_","_","_","EIVeu_Nitrogen","_","_"
"_","_","_","HABsb_4.3.1","_","_","_","_","_","Substrate_type6","_","_","_","_","EIVoa_Calcareous","_","_"
"_","_","_","HABsb_4.3.4","_","_","_","_","_","Substrate_type7","_","_","_","_","Elev_class","_","_"
"_","_","_","HABsb_4.3.7","_","_","_","_","_","Substrate_type8","_","_","_","_","Elevation_low","_","_"
"_","_","_","HABsb_4.4","_","_","_","_","_","Substrate_type9","_","_","_","_","Elevation","_","_"
"_","_","_","HABsb_4.4.2","_","_","_","_","_","_","_","_","_","_","Elevation_up","_","_"
"_","_","_","HABsb_4.5","_","_","_","_","_","_","_","_","_","_","Dispersal_min","_","_"
"_","_","_","HABsb_5","_","_","_","_","_","_","_","_","_","_","Dispersal_km","_","_"
"_","_","_","HABsb_5.2","_","_","_","_","_","_","_","_","_","_","Dispersal_max","_","_"
"_","_","_","HABsb_5.3","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_5.3.2","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_5.3.9","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_5.4","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_5.4.1","_","_","_","_","_","_","_","_","_","_","_","_","_"
"_","_","_","HABsb_5.4.5","_","_","_","_","_","_","_","_","_","_","_","_","_"
