"","species","genus","family","order","class","phylum","NSDM.group","CH3Div.group","NSDM.scheme","CH3Div.scheme","Dispersal_km"
"910","Blemus discus subsp. discus","Blemus","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",1.9352
"917","Bodilopsis rufa","Bodilopsis","Scarabaeidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"983","Bostrichus capucinus","Bostrichus","Bostrichidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",3.7315
"998","Brachinus crepitans","Brachinus","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",1.84455
"999","Brachinus explodens","Brachinus","Carabidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.2714
"1001","Brachygonus megerlei","Brachygonus","Elateridae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",3.1312
"1008","Brachyta interrogationis","Brachyta","Cerambycidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.13294002025658
"1093","Buprestis haemorrhoidalis","Buprestis","Buprestidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.5385
"1094","Buprestis novemmaculata","Buprestis","Buprestidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.6104
"1095","Buprestis octoguttata","Buprestis","Buprestidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.0055
"1096","Buprestis rustica","Buprestis","Buprestidae","Coleoptera","Insecta","Arthropoda","Arthropods (non EPTO)","coleoptera","terrestrial","terrestrial",2.2223
